testId,questionId,key,label
mindset-1,q1,A,物価上昇、超高齢化社会、人口減少
mindset-1,q1,B,少子化、AIの進化、環境問題
mindset-1,q1,C,税率引き下げ、人口増加、賃金上昇
mindset-1,q1,D,金融リテラシー向上、平均寿命短縮、医療費減少
mindset-1,q1,E,円高、若年層の高収入化、失業率低下
mindset-1,q2,A,年間1%の上昇
mindset-1,q2,B,年間2%の上昇
mindset-1,q2,C,年間3%の上昇
mindset-1,q2,D,年間5%の上昇
mindset-1,q2,E,物価を下げる政策
mindset-1,q3,A,2040年までに日本の人口が1億人を下回る問題
mindset-1,q3,B,2040年に日本の人口の35％が65歳以上の高齢者になる問題
mindset-1,q3,C,2040年に年金制度が完全に廃止される問題
mindset-1,q3,D,2040年に日本の平均寿命が短くなる問題
mindset-1,q3,E,2040年に消費税が20％に引き上げられる問題
mindset-1,q4,A,すべての高齢者が1割負担である
mindset-1,q4,B,すべての高齢者が3割負担である
mindset-1,q4,C,所得に応じて1割または3割負担になる
mindset-1,q4,D,年金受給者は医療費が無料になる
mindset-1,q4,E,医療費は一律2割負担に変更された
mindset-1,q5,A,投資のテクニックを学ぶこと
mindset-1,q5,B,節約術を学ぶこと
mindset-1,q5,C,副業スキルを磨くこと
mindset-1,q5,D,お金に対する考え方や価値観を整えること
mindset-1,q5,E,保険商品の情報を集めること
mindset-2,q1,A,およそ10万円
mindset-2,q1,B,およそ12万円
mindset-2,q1,C,およそ16万円
mindset-2,q1,D,およそ20万円
mindset-2,q1,E,およそ27万円
mindset-2,q2,A,女性83歳、男性88歳
mindset-2,q2,B,女性88歳、男性83歳
mindset-2,q2,C,女性90歳、男性85歳
mindset-2,q2,D,女性85歳、男性80歳
mindset-2,q2,E,女性93歳、男性88歳
mindset-2,q3,A,2700万円
mindset-2,q3,B,4000万円
mindset-2,q3,C,6000万円
mindset-2,q3,D,9700万円
mindset-2,q3,E,1億円
mindset-2,q4,A,自営業は月14.4万円、会社員は月5.5万円
mindset-2,q4,B,自営業は月5.5万円、会社員は月14.4万円
mindset-2,q4,C,自営業は月10万円、会社員は月20万円
mindset-2,q4,D,自営業・会社員ともに月12万円
mindset-2,q4,E,年金額は一律で月16万円
mindset-2,q5,A,2000万円
mindset-2,q5,B,3000万円
mindset-2,q5,C,4000万円
mindset-2,q5,D,6000万円
mindset-2,q5,E,1億円
mindset-3,q1,A,第1領域（緊急かつ重要）
mindset-3,q1,B,第2領域（緊急ではないが重要）
mindset-3,q1,C,第3領域（緊急だが重要でない）
mindset-3,q1,D,第4領域（緊急でも重要でもない）
mindset-3,q1,E,すべての領域に当てはまる
mindset-3,q2,A,第1領域を優先すれば第2領域は不要になる
mindset-3,q2,B,第2領域に取り組めば第1領域を最小限にできる
mindset-3,q2,C,第2領域は趣味や娯楽の時間を指す
mindset-3,q2,D,第1領域と第2領域はまったく関係がない
mindset-3,q2,E,第2領域は短期的な成果にしか役立たない
mindset-3,q3,A,約3割
mindset-3,q3,B,約5割
mindset-3,q3,C,約7割
mindset-3,q3,D,約9割
mindset-3,q3,E,約1割
mindset-3,q4,A,投資で短期的に利益を得ること
mindset-3,q4,B,収入と支出を管理すること
mindset-3,q4,C,最新の投資ニュースを常にチェックすること
mindset-3,q4,D,人気の金融商品を買ってみること
mindset-3,q4,E,株や投資信託をいきなり始めること
mindset-3,q5,A,投資の利益が多いかどうか
mindset-3,q5,B,収入の高さによる違い
mindset-3,q5,C,投資できる金額や期間の長さによる違い
mindset-3,q5,D,お金を管理・コントロールできているかどうか
mindset-3,q5,E,周囲の人と比べて優れているかどうか
mindset-4,q1,A,稼ぐ→使う→貯める
mindset-4,q1,B,貯める→稼ぐ→使う
mindset-4,q1,C,稼ぐ→貯める→使う
mindset-4,q1,D,使う→貯める→稼ぐ
mindset-4,q1,E,稼ぐ→投資する→使う
mindset-4,q2,A,必要最低限の生活費は残す
mindset-4,q2,B,家族のお金の使い方を見直す
mindset-4,q2,C,税金の勉強をする
mindset-4,q2,D,貯めたお金をすべて投資に回す
mindset-4,q2,E,お金の使い方を管理する
mindset-4,q3,A,50％
mindset-4,q3,B,60％
mindset-4,q3,C,70％
mindset-4,q3,D,80％
mindset-4,q3,E,90％
mindset-4,q4,A,60％
mindset-4,q4,B,65％
mindset-4,q4,C,70％
mindset-4,q4,D,80％
mindset-4,q4,E,85％
mindset-4,q5,A,副業を始めること
mindset-4,q5,B,転職活動をすること
mindset-4,q5,C,支出を見直すこと
mindset-4,q5,D,金融投資に挑戦すること
mindset-4,q5,E,生活水準を上げること
mindset-5,q1,A,思い込み → 感情 → 言葉 → 行動 → 結果
mindset-5,q1,B,感情 → 言葉 → 思い込み → 行動 → 結果
mindset-5,q1,C,言葉 → 行動 → 感情 → 結果 → 思い込み
mindset-5,q1,D,結果 → 行動 → 言葉 → 感情 → 思い込み
mindset-5,q1,E,行動 → 感情 → 結果 → 言葉 → 思い込み
mindset-5,q2,A,お金の使い方の計画
mindset-5,q2,B,その人が持つ根本的な考え方や価値観、ものの見方
mindset-5,q2,C,お金を増やすための具体的な手法
mindset-5,q2,D,収入と支出のバランス
mindset-5,q2,E,人間関係における信頼関係
mindset-5,q3,A,否定的な結果になりやすい
mindset-5,q3,B,お金を持つことを拒否する結果になる
mindset-5,q3,C,お金が増えていくという結果が得られる
mindset-5,q3,D,お金を使うことを避けるようになる
mindset-5,q3,E,お金を人間関係から切り離して考えるようになる
mindset-5,q4,A,1種類
mindset-5,q4,B,2種類
mindset-5,q4,C,3種類
mindset-5,q4,D,4種類
mindset-5,q4,E,5種類
mindset-5,q5,A,お金を避けて生きている状態
mindset-5,q5,B,お金を持つことで偉そうになっている状態
mindset-5,q5,C,お金に対して恐怖を感じている状態
mindset-5,q5,D,お金と親友やパートナーのように信頼し合える状態
mindset-5,q5,E,お金を軽視してまったく管理しない状態
mindset-6,q1,A,周囲からどう見られているか
mindset-6,q1,B,自分が思っている自分のこと
mindset-6,q1,C,理想の職業や生活スタイル
mindset-6,q1,D,社会的な肩書きや地位
mindset-6,q1,E,資産額や収入の水準
mindset-6,q2,A,ふさわしいと思う場所で止まり、下がるのも上がるのも苦痛になる
mindset-6,q2,B,下がるのは苦痛だが、上がるのは常に快適である
mindset-6,q2,C,ふさわしいと思う場所は常に変動する
mindset-6,q2,D,上がるのは苦痛だが、下がるのは楽になる
mindset-6,q2,E,どの方向に変化しても苦痛は感じない
mindset-6,q3,A,社会的な制約が強いから
mindset-6,q3,B,収入の変化が激しいから
mindset-6,q3,C,苦痛の存在があるから
mindset-6,q3,D,投資の知識が不足しているから
mindset-6,q3,E,周囲からの反対があるから
mindset-6,q4,A,新しい環境に強制的に飛び込むこと
mindset-6,q4,B,お金をたくさん稼いで自信をつけること
mindset-6,q4,C,自分を信じること
mindset-6,q4,D,周囲の評価を気にしないこと
mindset-6,q4,E,理想を曖昧にしてストレスを減らすこと
mindset-6,q5,A,投資で一気に資産を増やすこと
mindset-6,q5,B,理想を明確にし、現状を把握してコツコツ学び実践すること
mindset-6,q5,C,現状を受け入れて変化を避けること
mindset-6,q5,D,周囲に流されて行動を決めること
mindset-6,q5,E,収入を増やすことだけに集中すること
