id,title,category,description,outcomes,isPublished,position,iconUrl
mindset,マインドセット,life,このコースでは、成果を手にするために不可欠なマインドセットの土台から、日々実践するための思考習慣や具体的なセルフマネジメント術までを体系的に学びます。,困難に直面しても折れない「成長志向」の考え方が身につき、自信をもって新しい挑戦に踏み出し、日常の行動を自らデザインできるようになります。,TRUE,1,/courses/mindset.png
finance_basics,金融基礎,knowledge,このコースでは、投資や資産運用を始めるうえで欠かせない金融の基礎を体系的に学びます。投資信託や為替、インフレといった重要なテーマを網羅し、初心者が理解すべき知識を整理します。,受講後は、投資を始める前に押さえるべき基礎が明確になり、自分に合った投資方法を自信を持って選択できるようになります。金融リテラシーが高まり、日常の経済ニュースを深く理解できます。,TRUE,2,/courses/finance_basics.png
nisa,NISA,product,少額投資非課税制度であるNISAについて、その仕組みや特徴から活用の基本までを学びます。よくある質問やライフイベント時の取り扱いも含め、制度を正しく理解できる内容です。,このコースを終えると、NISAのメリットと限界を正しく把握でき、自分のライフプランに合った使い方を設計できます。不安や誤解が解消され、安心して制度を活用し投資を始められます。,TRUE,3,/courses/nisa.png
ideco,iDeCo,product,老後の資産形成を支える私的年金制度「iDeCo」の仕組みやメリット・デメリットを体系的に学びます。節税効果や運用方法を含め、利用する際の判断基準を明確にすることが目的です。,修了後は、iDeCoを利用すべきかどうかを自分で判断できるようになり、税制優遇を活かした老後資金づくりの選択肢を持てます。制度を自分ごととして捉え、具体的に行動できる力がつきます。,TRUE,4,/courses/ideco.png
social_security,社会保障基礎,knowledge,医療・年金・介護・労災など、日常生活に欠かせない社会保障制度の全体像を整理します。制度の役割と活用のポイントを理解し、生活や家計を守るための基礎知識を身につけます。,このコースを終えると、困難に直面した際に活用できる制度を理解し、無駄な出費を抑えて生活を守る力が身につきます。社会保障を賢く使いこなし、安心感あるライフデザインが可能になります。,TRUE,5,/courses/social_security.png
economics,経済の仕組み,knowledge,金利や金融政策、日銀の役割など、経済を読み解くために不可欠な基礎知識を網羅します。資産運用に直結する経済の動きを理解し、自分の生活や投資判断に役立てられる視点を養います。,修了後は、ニュースで流れる経済用語を自分ごととして理解できるようになり、資産を増やすだけでなく守るための知識も得られます。経済の全体像を掴むことで、判断に一貫性が生まれます。,TRUE,6,/courses/economics.png
asset_formation,資産形成基礎,knowledge,「資産形成とは何か」を基礎から学び、単利と複利、ドルコスト平均法など投資の重要な仕組みを理解します。長期的に資産を築くための考え方と具体的な手法を整理して習得します。,受講後は、時間を味方につけた資産形成の設計が可能になり、投資の判断基準を持てるようになります。仕組みを理解することで迷いが減り、着実に未来の資産を積み上げる行動が取れます。,TRUE,7,/courses/asset_formation.png
pension1,年金制度１,knowledge,日本の公的年金制度の全体像を学びます。老後の年金の受け取り方や、働けなくなったときの保障、遺族年金など、生活を支える基礎的な仕組みを幅広く理解できる内容です。,修了後は、自分や家族が将来どのように年金を受け取れるのかを具体的にイメージでき、不安を対策に変えられます。老後の生活設計を現実的に考える第一歩を踏み出せるようになります。,TRUE,8,/courses/pension.png
pension2,年金制度２,knowledge,企業年金や個人年金といった私的年金制度について学び、公的年金を補完する仕組みを理解します。自分に合った年金準備の手段を検討できるようになるための知識を提供します。,受講後は、公的年金だけに頼らず、自ら備える手段を理解でき、安定した老後資金づくりが可能になります。必要に応じて複数の制度を組み合わせ、安心感を持って人生設計を描けます。,TRUE,9,/courses/pension.png
financial_products,金融商品,product,株式・債券・投資信託・外貨商品など、代表的な金融商品の仕組みと特徴を体系的に学びます。それぞれのリスクとリターンを理解し、自分に合った投資先を選べるようになる内容です。,修了後は、金融商品のメリット・デメリットを比較検討できる力がつき、投資判断に自信が持てます。多様な選択肢を正しく理解することで、自分の目的やリスク許容度に合った資産形成が可能です。,TRUE,10,/courses/financial_products.png
insurance_basics,保険基礎,knowledge,このコースでは、保険制度全体の仕組みを理解し、どのように生活を支えているかを学びます。保険の役割や種類、必要性を整理し、賢く付き合うための視点を身につけます。,修了後は、保険を感覚的に選ぶのではなく、必要性や仕組みに基づいて判断できるようになります。不要な保険に無駄なお金を払うことなく、自分にとって必要な保障を見極められます。,TRUE,11,/courses/insurance_basics.png
insurance_products,保険商品,product,生命保険・医療保険・損害保険など、具体的な保険商品の種類と仕組みを学びます。保障内容や目的ごとの選び方を理解し、自分に必要な保険を取捨選択できるようになる内容です。,受講後は、各保険商品のメリット・デメリットを比較できるようになり、ライフスタイルに合った保険選びが可能になります。根拠ある判断ができ、安心して生活設計に組み込めます。,TRUE,12,/courses/insurance_products.png
