id,courseId,title,summary,order,videoUrl,durationSec,isPublished,isFree,testId,thumbnailUrl
mindset-1,mindset,”今”お金の勉強が最優先事項な理由,お金の不安が広がる今だからこそ、正しい知識と考え方を学ぶことが未来を守る第一歩です。このレッスンで、変化に揺れない土台を築き、自分らしい選択を重ねる判断軸を養い、将来の可能性を着実に広げていきましょう。,1,https://vimeo.com/1118069443/c61bd33f61,,TRUE,TRUE,mindset-1,
mindset-2,mindset,老後資金は2000万ではなく〇〇万円！？,老後に必要なお金は2000万円では足りないかもしれません。このレッスンでは、未来の暮らしを見据えた資金準備の重要性に気づき、計画的に備える力を育むきっかけを得られます。学びを通じて、安心と希望ある老後を描けるようになります。,2,https://vimeo.com/1118070826/e2c55cbb1b,,TRUE,TRUE,mindset-2,
mindset-3,mindset,ここからお金の勉強が始まる,お金の勉強は先延ばしにされがちですが、今こそ始めることで将来の暮らしに大きな違いを生みます。このレッスンでは、継続できる学びの土台を整え、自信を持って資産形成に挑む力を養い、豊かな未来を描ける第一歩を踏み出せます。,3,https://vimeo.com/1118076790/55a8393cca,,TRUE,TRUE,mindset-3,
mindset-4,mindset,投資は準備段階で決まる！？即実践の土台作り,投資で成果を出すためには、実践よりもまず土台づくりが欠かせません。このレッスンでは、お金の流れを整え、守りと攻めのバランスを意識した準備力を養います。学ぶことで、安心して資産形成を始め、自分らしい未来を築く第一歩を踏み出せます。,4,https://vimeo.com/1118076849/8f40cca9f9,,TRUE,TRUE,mindset-4,
mindset-5,mindset,「お金持ちな自分になる思考」①,お金に対する思い込みや関係性は、行動や人生の結果を左右します。このレッスンでは、自分の中にある価値観を見直し、お金と対等に向き合える思考を育むことで、豊かさを自然に引き寄せ、自分らしい未来を描く力を養えます。,5,https://vimeo.com/1118076887/647400ee96,,TRUE,TRUE,mindset-5,
mindset-6,mindset,「お金持ちな自分になる思考」②,理想の自分に近づくためには、セルフイメージを変えることが不可欠です。このレッスンでは、自分を信じる力を養い、理想と現実のギャップを乗り越える方法を学びます。学ぶことで、お金持ちな自分へと成長する第一歩を踏み出せます。,6,https://vimeo.com/1118076937/8bacd7b49d,,TRUE,TRUE,mindset-6,
mindset-7,mindset,貯め上手が投資を制す！,貯金は我慢ではなく、夢を叶え人生を守る力強い味方です。このレッスンでは、目的を持った貯金の意義や具体的な仕組みづくりを学び、投資へと進むための揺るがない土台を整える方法を身につけられます。習慣を積み重ねることで、安心と自由を手に入れる第一歩を踏み出せます。,7,https://vimeo.com/1118076984/911493c968,,TRUE,TRUE,mindset-7,
mindset-8,mindset,銀行に預けて大丈夫？,銀行預金は安心感がある一方で、金利や物価上昇を考えると資産形成には限界があります。このレッスンでは、銀行の役割や仕組みを学びつつ、時代に合ったお金の働かせ方を考える視点を養えます。将来のために一歩踏み出すきっかけになります。,8,https://vimeo.com/1118716249/885f06ad0e,,TRUE,TRUE,mindset-8,
mindset-9,mindset,お金持ちになる道のり,お金持ちとは高収入ではなく、経済的自由と時間を両立できる人を指します。このレッスンでは、労働所得から資産所得へ移行する重要性を学び、正しい知識と行動によってお金の自由を手に入れる道筋を描けます。豊かな未来への第一歩となります。,9,https://vimeo.com/1118714407/cf8511c375,,TRUE,TRUE,mindset-9,
mindset-10,mindset,お金持ちの考え方の常識,お金を手にしても正しい考え方がなければ維持できません。このレッスンでは、短期的な思考に陥る「貧乏脳」と、長期的に資産を育てる「お金持ち脳」の違いを学びます。学ぶことで、仕組みを作り拡大する発想を取り入れ、豊かさを持続させる力を養えます。,10,https://vimeo.com/1118714474/8f0b10735e,,TRUE,TRUE,mindset-10,
mindset-11,mindset,幸福度を上げるお金の使い方,お金は使い方次第で幸福度を大きく左右します。このレッスンでは「投資・消費・浪費」の違いやキャッシュフローの考え方を学び、日常の支出を見直す力を養います。学ぶことで、お金をより豊かさに変える視点を身につけ、自分らしい人生を選ぶ基盤を整えられます。,11,https://vimeo.com/1118714554/82841b1d9e,,TRUE,TRUE,mindset-11,
mindset-12,mindset,お金のなる木を手に入れる方法,働くだけに頼らず、自分の代わりに収入を生む「お金のなる木」を育てることが資産形成の鍵です。このレッスンでは、貯める力を基盤にお金の5サイクルを整え、資産を増やす仕組みを作る視点を学べます。学ぶことで、時間とお金の自由を得る未来へ近づけます。,12,https://vimeo.com/1118716319/9ab85f4ef4,,TRUE,TRUE,mindset-12,
finance_basics-1,finance_basics,初心者だからこその投資方法,投資を始めたいけれど迷っている方に最適な第一歩が学べます。このレッスンでは、先取り貯蓄から投資信託の積立までをわかりやすく解説し、リスクを抑えながら資産形成を続けるための基本を身につけられます。学ぶことで、将来に向けた安定した準備が整います。,1,https://vimeo.com/1118077021/4176977eac,,TRUE,TRUE,finance_basics-1,
finance_basics-2,finance_basics,必見！投資信託徹底解説！,投資を始めたい方にとって分かりやすい選択肢が投資信託です。このレッスンでは、仕組みやコスト、運用スタイルの違いを丁寧に解説し、初心者でも安心して資産運用を始められる視点を養います。学ぶことで、自分に合ったファンド選びの基準を持ち、賢い一歩を踏み出せます。,2,https://vimeo.com/1118088346/bbc465dcea,,TRUE,FALSE,finance_basics-2,
finance_basics-3,finance_basics,為替で資産形成の差がつく！？,円高や円安は生活だけでなく資産形成にも大きな影響を与えます。このレッスンでは、為替の基本やリスクの考え方を学び、外貨建て商品の注意点や通貨分散のメリットを理解できます。学ぶことで、変動のある時代に備えた資産の守り方と増やし方を身につけられます。,3,https://vimeo.com/1118088410/2c60708a55,,TRUE,FALSE,finance_basics-3,
finance_basics-4,finance_basics,インフレで見落としがちなリスク,インフレは生活費を押し上げるだけでなく、将来の資産計画にも大きな影響を及ぼします。このレッスンでは、物価上昇の仕組みや円安との関係を学び、2000万円問題を超えて「価値」で備える視点を養えます。学ぶことで、インフレに負けない資産形成の考え方を身につけられます。,4,https://vimeo.com/1118088458/ef2f6cb880,,TRUE,FALSE,finance_basics-4,
nisa-1,nisa,これだけ抑えて！NISAの特徴,NISAは投資利益が非課税になるお得な制度です。このレッスンでは、新NISAの特徴や活用ポイントを学び、長期的に資産形成を進めるための基礎を身につけられます。学ぶことで、制度を正しく理解し、自分に合った投資スタイルを選ぶ力を養えます。,1,https://vimeo.com/1118088479/f04c92d960,,TRUE,FALSE,nisa-1,
nisa-2,nisa,よくあるNISA質問集,NISAは人気の高い投資制度ですが、誤解や疑問も多くあります。このレッスンでは、新制度の仕組みや活用のコツ、分散投資の考え方、銘柄選びの注意点をわかりやすく解説します。学ぶことで、制度に振り回されず自分の目的に合った資産形成戦略を立てられる力を養えます。,2,https://vimeo.com/1118088528/a2a62e5d5a,,TRUE,FALSE,nisa-2,
