id,testId,order,text,explanation,correctKey
q1,mindset-1,1,日本人が将来のお金に不安を抱く大きな要因として、動画で挙げられていたものはどれでしょうか？,不安の背景には「物価上昇・超高齢化社会・人口減少」という3つの要因があります。物価が上がれば生活費が圧迫され、高齢化や人口減少は年金や医療制度に負担をかけ、将来の安心が揺らぎます。,A
q2,mindset-1,2,2012年から始まったアベノミクスで掲げられた物価上昇の目標はどれでしょうか？,アベノミクスでは「年間2%の物価上昇」を目標に掲げました。近年はその目標に沿って物価が徐々に上昇しています。,B
q3,mindset-1,3,動画で説明されていた「2040年問題」とは何を指す言葉でしょうか？,高齢者が急増すると年金や医療費の負担が現役世代に重くのしかかり、社会保障制度が維持しにくくなるため、大きな経済課題となります。,B
q4,mindset-1,4,高齢者の医療費負担について正しいのはどれでしょうか？,以前は高齢者は原則1割負担でしたが、現在は所得がある人は3割負担となります。医療費が無料や一律というのは誤解です。高齢化に伴い、医療費負担は増加し続けることが社会の課題です。,C
q5,mindset-1,5,動画で述べられていた「お金の勉強の最優先事項」として最も重視されていたのはどれでしょうか？,「まずお金に対する考え方や価値観を整えること」が最優先とです。投資や節約のスキルは役立ちますが、土台となる考え方がなければ予想外の事態に対応できません。,D
q1,mindset-2,1,総務省の資料によると、老後の生活費は単身世帯で月いくら程度必要とされているでしょうか？,単身世帯は月およそ16万円、夫婦では27万円必要です。年金だけでは生活費をまかなえず、不足分を準備する必要があります。,C
q2,mindset-2,2,日本人の平均寿命はどの組み合わせでしょうか？,日本人の平均寿命は女性88歳、男性83歳です。さらに女性の死亡率が最も高い年齢は93歳であり、長生きするほど老後資金は多く必要になります。,B
q3,mindset-2,3,95歳まで生きると仮定した場合、夫婦で必要とされる生活費はおよそいくらでしょうか？,夫婦で95歳まで生きると生活費はおよそ9700万円必要と言われています。長寿化が進むことで「老後2000万円問題」では足りない現実が浮き彫りになります。,D
q4,mindset-2,4,年金の平均受給額について正しいのはどれでしょうか？,営業の平均受給額は月5.5万円、会社員の平均受給額は月14.4万円です。基礎年金と厚生年金の仕組みによって金額が異なり、生活費に大きな不足が生じます。,B
q5,mindset-2,5,およその生活費と平均年金額の差から、老後資金として最低どれくらい不足するとされていますか？,生活費と年金額の差から、最低でも4000万円不足します。さらにインフレや円安が進めば、必要な資金はより大きくなる可能性があります。,C
q1,mindset-3,1,時間の使い方を分類する「時間のマトリックス」において、お金の勉強が位置づけられるのはどの領域でしょうか？,お金の勉強は「第2領域（緊急ではないが重要なこと）」に分類されます。老後資金や資産形成は今すぐの課題ではなくても、早く始めることで将来の負担を軽減できます。,B
q2,mindset-3,2,第1領域と第2領域の関係について正しいのはどれでしょうか？,第2領域で準備や予防を行えば、第1領域の「緊急かつ重要」な事態を減らせます。病気予防の例と同じように、資産形成も早く取り組むことで将来の問題を小さくできます。,B
q3,mindset-3,3,統計的に「お金の勉強をやったほうがいい」と分かっていても行動しない人はどのくらいとされていますか？,約7割の人は「やったほうがいい」と理解していても実際には行動していません。知識と行動のギャップを埋めるためには、学びを継続する仕組みが大切です。,C
q4,mindset-3,4,資産形成を始める前に土台として必要なことは何でしょうか？,まず収入と支出を把握し、管理できることが資産形成の土台です。管理できていない状態で投資を始めると、不安や焦りが先行して継続が難しくなります。,B
q5,mindset-3,5,「お金に自信がある人」と「お金に自信がない人」の違いとして動画で説明されていたのはどれでしょうか？,お金の自信は収入や投資額の大小ではなく、「自分で管理・コントロールできているかどうか」で決まります。土台を整えることが長期的な安心につながります。,D
q1,mindset-4,1,資産形成の土台となるお金の流れは「稼ぐ・貯める・使う」です。安定的に資産を増やすために正しい順番はどれでしょうか？,多くの人は「稼ぐ→使う→余ったら貯める」と考えがちですが、それでは安定しません。正しい流れは「稼ぐ→貯める→使う」であり、先取り貯蓄が土台になります。その上で、「守る」＋「増やす」でお金の５サイクルを回していきましょう！,B
q2,mindset-4,2,投資を行う際の考え方として誤っているのはどれでしょうか？,投資にはリスクが伴うため、全額を投資に回すのは誤りです。生活費を残す・家計を見直す・税金の知識を持つことなどは、すべて資産を守るために有効です。,D
